製品名,開発企業,最終調査日,製品URL,ソフト概要,シェア率,"①分野 ",①フェーズ,①細目・管理項目,①機能,②分野,"②フェーズ ",②細目・管理項目,②機能,顧客タイプ,顧客規模,価格,導入本数,売上,主要取引先,UI・UX,カスタム性、API連携,サポート力、コミュニティの活性,モバイル対応,業界標準,総評(自動),miroリンク,miro調査
BUILD.一貫VI,構造ソフト (https://www.notion.so/2b6e41120cf94eddb83741b6cdf95c3e?pvs=21),"February 3, 2025",https://www.kozosoft.co.jp/seihin/ik6/ik6.html,"
• 主たる構造種別がS造・RC造・SRC造の建築物及びこれらの混在した建築物について、準備計算、応力計算、断面計算、そして保有水平耐力計算までを一貫計算します。",高,建築,設計,構造,構造一貫,,,,,"サブコン, ゼネコン","スーパー, 中堅, 中小, 個人, 大手",,,,,,✕,△,✕,〇,3,,No
現場ナビ工程,構造ソフト (https://www.notion.so/2b6e41120cf94eddb83741b6cdf95c3e?pvs=21),"February 3, 2025",https://www.kozosoft.co.jp/genba_navi/seihin/koutei/index.html,"
• 工程表作成ソフト「現場ナビ工程」は、複数のスーパーゼネコンで標準ソフトとして採用されており、高いシェアを誇っています。
• どなたでも簡単な操作ですぐに見栄えの良い工程表が作成でき、変更も容易に行えます。ExcelやCADに比べて作業効率が30～40％アップできます。",高,建築,施工・建設(プラント),工程管理,"工程作成, 進捗管理",,,,,"サブコン, ゼネコン, 専門工事業者","スーパー, 中堅, 中小, 大手","99,000(永久ライセンス)",,,,△,✕,△,✕,〇,4,,No
工程’ｓ Orario,ウェッブアイ (https://www.notion.so/e73eb3eee3424ecdb9c433c73a560d85?pvs=21),"February 3, 2025",https://www.webi.co.jp/,"工程管理ツール
「工程’ｓクラウド」を使用することで候え地表をオンラインで共有可能
NETIS登録番号：KK-170061-A",高,建築,施工・建設(プラント),工程管理,"工程作成, 進捗管理",,,,,"サブコン, ゼネコン, ハウスメーカー, 専門工事業者","スーパー, 中堅, 中小, 個人, 大手","￥148,000/本(買い切り)
https://www.kensaibou.or.jp/safe_tech/ict/entry/003576.html",,,高砂熱学工業,✕,✕,〇,〇,〇,6,,No
原価管理WAO,チェプロ (https://www.notion.so/1386192d150380caa3d1f3ba11799320?pvs=21),"November 8, 2024",https://kensetsu.chepro.co.jp/,本社・現場の双方でリアルタイムに予算、原価、注文、支払、利益を把握し、分析することが可能です。迅速で的確な判断ができることにより、原価管理の推進と不採算工事の未然防止につながります。,中,建築,施工・建設(プラント),原価管理,"Web-EDI, ワークフロー, 入金管理, 受注管理, 営業管理, 実行予算管理, 工事原価管理, 支払管理, 注文管理, 経費管理, 請求管理, 顧客管理",,,,,"サブコン, ゼネコン","中堅, 大手",,,"¥833,000,000",,✕,〇,△,✕,△,4,,No
MARS Evo,,"November 6, 2024",https://www.cstnet.co.jp/,現場代理人が入力した作業日報から原価情報等をリアルタイムに集計し、クラウド経由で工事部長や経営者が現場毎の現時点の出来高進捗・原価状況を把握する事ができます。日々忙しい現場代理人や工事部長・経営者の負担を大きく軽減します。,中,,,,,,,,,"サブコン, 専門工事業者","中堅, 中小",,,"¥9,016,000,000",,,,,,,0,,No
LaKeel BI,ラキール (https://www.notion.so/44e20013dd334c1ab92ef301334dd870?pvs=21),"February 5, 2025",https://bi.lakeel.com/products/function/,分析に必要なデータを収集・加工・統合するETL機能を利用し、散在したシステムデータを一元管理できる統合DBを構築。各種システム・外部データ・Excelなどのあらゆるデータと自動連携システムを跨いだデータ分析・可視化・検索も実現。,中,建築,施工・建設(プラント),施工総合管理,BIツール,,,,,"サブコン, ゼネコン, 設計事務所, 金融","スーパー, 中堅, 大手",,,,鹿島建設,,✕,△,〇,〇,5,,No
J+ComFITs,,"November 7, 2024",https://www.fujitsu.com/jp/group/fetec/solutions/jp-comfits/,富士通エンジニアリングテクノロジーズ（旧：日揮情報システム）が現在までにご提供してきた建設業向け成功事例を結集した基幹業務システムです。 建設業の機能を集約し、機能の共通化、標準化を促進しました。,,,,,,,,,,サブコン,"スーパー, 大手",,,"¥5,610,000,000",,,,,,,0,,No
BEStPRO-原価C3,,"November 7, 2024",https://www.fujitsu.com/jp/group/fetec/solutions/bestpro/bestpro-genkac3/,作業所で発生する、実行予算～注文～出来高・請求の各情報をサーバ（本・支店）で管理し、会計システムと連携することによりメリットを追求します。多くの建設会社で原価管理システムを開発した経験を生かした原価管理のベースパッケージで、ユーザー独自の機能だけカスタマイズ可能です。,,,,,,,,,,"サブコン, ゼネコン","スーパー, 大手",,,"¥5,610,000,000",,,,,,,0,,No
BEStPRO-原価C3Lite,,"November 7, 2024",https://www.fujitsu.com/jp/group/fetec/solutions/bestpro/bestpro-genkac3lite/,"すでに全国5,000か所以上の作業所で利用されている建設業向け工事原価管理システム「BEStPRO-原価」シリーズで、2010年に販売開始した「BEStPRO-原価C3」を中小建設業や専門工事業でも、実行予算の利益管理を手軽に行うことができる新製品です。「BEStPRO-原価C3」の機能をほぼ踏襲した上で、利用ユーザ数を最小5ユーザから30ユーザまでの制限とし、必要な機能に絞ることで、リーズナブルな価格での導入を可能としています。",,,,,,,,,,"ハウスメーカー, 専門工事業者","中堅, 中小",,,"¥5,610,000,000",,,,,,,0,,No
BEStPRO smart - 実行予算管理,,"November 8, 2024",https://www.fujitsu.com/jp/group/fetec/solutions/bestpro/bestpro-smart/,「実行予算」「原価実績」「今後支払予想」「完工未払」を一元管理し、決算予測精度を向上させます。 月次原価実績を把握し、実績情報の信頼性を高めるだけでなく、情報集約にかかる時間を短縮化し、変動を早期に把握できます。,,,,,,,,,,,,,,"¥5,610,000,000",,,,,,,0,,No
